timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-06-30 21:46:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good,Excellent,Excellent,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 21:48:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 21:50:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 21:52:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 21:54:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 21:56:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 21:58:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:00:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:02:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:04:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
